term,han,vi,fr
Anh‑hùng‑ca,英雄歌,Bài ca tán tụng công‑đức những bực anh‑hùng hào‑kiệt.,Épopée.
Ảnh‑hưởng,影響,"Chính nghĩa là cái bóng, cái tiếng vang. Dùng rộng nghĩa thì chỉ cái thế‑lực của vật nọ lan‑động sang vật kia, như cái bóng chiếu, cái tiếng vang.","Influence, exercer une influence."
Áp‑chế‑chủ‑nghĩa,壓制主義,"Chủ‑nghĩa đè nén, áp ức người ta.",Despotisme.
Bán‑khai,半開,Là mới văn‑minh mở‑mang được nửa.,Se dit d'une civilisation peu avancée.
Bành‑trướng,彭漲,"Dương rộng ra, phát to ra.","Expansion, force d'expansion."
Bảo‑hiểm‑công‑ti,保險公司,"Hội phải đóng tiền thì được cứu giúp những khi tai nạn : như cháy nhà, đắm tầu, v., v.",Compagnie d'assurance.
Bi‑đát,悲怛,Buồn thảm.,"Émouvant, tragique."
Bi‑kịch,悲劇,"Cuộc buồn, cuộc‑thảm. Lối diễn‑kịch diễn những sự buồn, sự thảm.","Drame, tragèdie."
Bí‑quyết,秘訣,Phép bí‑mật không ai biết.,"Secret, énigme."
Biểu‑diện,表面,"Bề ngoài, mặt ngoài, sự phát‑hiện ra ngoài.","Face, apparence, manifestation extérieure."
Biểu‑hiệu,表號,Dấu hiệu để hình tượng ra ngoài.,Symbole.
Cảm‑tình‑hồn,感情魂,Phần hồn thuộc về tình cảm.,Psychisme sentimental.
Cảm‑giác,感覺,"Sự cảm biết, cảm mà biết, không phải suy nghĩ mà biết.","Sensation, perception, impression."
Cảnh‑cáo,警告,Báo tước cho biết một sự nguy‑hiểm.,Avertissement.
Chế‑độ,制度,Thể cách sếp đặt việc chính‑trị cùng các việc khác trong nước.,"Institution, régime."
Chi‑phối,支配,"Cai‑quản, sai khiến","Diriger, direction."
Chiến‑tuyến,戰線,"Hàng trận, đường quân đứng để đánh trận.","Front, ligne de bataille."
Chính‑sách,政策,Phương‑phép thuộc về chính‑trị,"Méthode politique, politique."
Chủ‑động,主動,Người chủ‑trương đứng đầu trong một việc gì.,Promoteur.
Cổ‑điển‑học‑vấn,古典學問,"Sự học văn‑chương cũ, học những sách vở đời cổ‑đại",Culture classique.
Cổ‑điển‑chủ‑nghĩa,古典主義,Chủ‑nghĩa trọng‑sự văn‑học đời cổ‑đại,Humanisme.
